"subject"	"activity"	"tbodyaccjerkmeanx"	"tbodyaccjerkmeany"	"tbodyaccjerkmeanz"	"tbodyaccjerkstdx"	"tbodyaccjerkstdy"	"tbodyaccjerkstdz"	"tbodyaccjerkmagmean"	"tbodyaccjerkmagstd"	"fbodyaccjerkmeanx"	"fbodyaccjerkmeany"	"fbodyaccjerkmeanz"	"fbodyaccjerkstdx"	"fbodyaccjerkstdy"	"fbodyaccjerkstdz"	"fbodyaccjerkmeanfreqx"	"fbodyaccjerkmeanfreqy"	"fbodyaccjerkmeanfreqz"	"fbodybodyaccjerkmagmean"	"fbodybodyaccjerkmagstd"	"fbodybodyaccjerkmagmeanfreq"	"angletbodyaccjerkmeangravitymean"
1	"LAYING"	0.0792076921639344	0.0152010497980328	-0.00318962539237705	-0.987983095573771	-0.98491855442623	-0.987573193278689	-0.988180212131147	-0.987704365901639	-0.988091066557377	-0.984855225901639	-0.985510000327869	-0.98896331704918	-0.986199676557377	-0.988231329180328	0.0610818165540984	-0.0325509023936066	0.0677926570147541	-0.987348043442623	-0.987060763114754	0.353773013137705	0.0320520223245902
1	"SITTING"	0.07574939575	0.00915676220903846	-0.00611080135557692	-0.993882550961538	-0.986968700192308	-0.988951638461538	-0.991320705769231	-0.990890696346154	-0.993962126730769	-0.986716618269231	-0.986997350576923	-0.994341503846154	-0.988278143076923	-0.989518159038462	0.227014118996154	0.0504831175519231	0.0693338327596154	-0.990243476730769	-0.990598818653846	0.369829281711538	0.00678066561538462
1	"STANDING"	0.0748302113647059	0.0125102284291647	-0.000843189326705882	-0.990555938588235	-0.982191073176471	-0.988801296352941	-0.989323853411765	-0.986871386470588	-0.990572315411765	-0.981895637529412	-0.986831266235294	-0.991422022352941	-0.983960537529412	-0.989368644235294	0.234069951330588	0.00128134884741177	-0.00453746357764706	-0.986724676352941	-0.985875363058824	0.346694051858824	0.0162633808917647
1	"WALKING"	0.0770223771764706	0.00968444678235294	0.00360803282352941	-0.396223738431373	-0.425563858627451	-0.44025821745098	-0.363144483529412	-0.403386563921569	-0.44140618254902	-0.454270822156863	-0.422332394117647	-0.402884115098039	-0.433612657843137	-0.45663628254902	-0.330912145882353	-0.396511933696078	-0.453928997882353	-0.378278490588235	-0.441447754509804	0.0921999142870588	0.0100011474509804
1	"WALKING_DOWNSTAIRS"	0.0907857064255319	-0.0148114530276596	-0.029312256293617	-0.101186926595745	-0.261684752425532	-0.303381582831915	-0.165908810808511	-0.0783498875595745	-0.155444882765957	-0.289957855489362	-0.241974080021277	-0.125682818093191	-0.281507406948936	-0.36402669587234	-0.368978400468085	-0.417064208808511	-0.376637686702128	-0.0745659082223404	-0.0919623368021277	-0.0148414437446808	-0.0449862704468085
1	"WALKING_UPSTAIRS"	0.0762526677	0.0173729333352941	0.0380533591627451	-0.521089140196078	-0.425625937254902	-0.593411129607843	-0.48321905	-0.493067129607843	-0.546088862941176	-0.468605205294118	-0.565220840588235	-0.538073090196078	-0.417127012352941	-0.620123586470588	-0.332237727509804	-0.535799234509804	-0.519560112156863	-0.475597717843137	-0.51993124	0.0673443714078431	0.0808783829
2	"LAYING"	0.0810865342	0.0038382040088	0.010834236361	-0.958482112	-0.9241492736	-0.9548551108	-0.9543962646	-0.9282456284	-0.9570738838	-0.9224626098	-0.9480609042	-0.9641607086	-0.9322178704	-0.9605869872	0.132419092398	0.024513618956	0.02438794528	-0.9333003608	-0.9218039756	0.26639115416	0.00306040735
2	"SITTING"	0.0774825199574468	-0.000619102785106384	-0.00336779235021277	-0.986430711276596	-0.981371965319149	-0.987910804468085	-0.987364195531915	-0.984120024042553	-0.986597022553191	-0.981579467021277	-0.986053092340425	-0.987492994468085	-0.982513909574468	-0.988339184893617	0.256610823568085	0.0475437839595745	0.0923920032553192	-0.985262126808511	-0.981606177446808	0.351852201957447	0.0297097878297872
2	"STANDING"	0.0753766542264151	0.00797573092830189	-0.00368524954709434	-0.994604542264151	-0.98564873245283	-0.992251177358491	-0.992367790566038	-0.993096209433962	-0.994630797358491	-0.985418704528302	-0.990752166037736	-0.995073759245283	-0.987018226792453	-0.992349818113208	0.314182940150943	0.0391618954943396	0.138581478749057	-0.99254247754717	-0.992536003396226	0.422220102264151	0.021963782690566
2	"WALKING"	0.0740416333157895	0.0282721095884211	-0.00416840617789474	-0.113615602435789	0.0670025007684211	-0.502699788526316	-0.141428809031579	-0.0744717500625263	-0.170546964549579	-0.0352255241130632	-0.468999224631579	-0.133586606326316	0.106739857136	-0.534713440421053	-0.209261973376842	-0.386237143210526	-0.185530281244211	-0.0571194000343158	-0.103492403002105	0.0938221807027368	-0.00793037848421052
